timestamp,pair,position,leverage,confidence,pnl,is_win,cumulative_pnl,equity,peak,drawdown,return
2025-01-07 12:57:28,DOT/USD,long,51.4,0.6881,400.54,True,400.54,10400.54,10400.54,0.0,0.040054
2025-01-08 12:57:28,DOT/USD,long,62.0,0.8444,205.13,True,605.67,10605.67,10605.67,0.0,0.020513
2025-01-09 12:57:28,DOT/USD,long,47.1,0.6821,348.75,True,954.42,10954.42,10954.42,0.0,0.034875
2025-01-10 12:57:28,DOT/USD,long,44.8,0.6867,284.31,True,1238.73,11238.73,11238.73,0.0,0.028431
2025-01-11 12:57:28,DOT/USD,long,40.1,0.6569,347.3,True,1586.03,11586.03,11586.03,0.0,0.034730000000000004
2025-01-12 12:57:28,DOT/USD,long,42.2,0.7498,256.7,True,1842.73,11842.73,11842.73,0.0,0.02567
2025-01-13 12:57:28,DOT/USD,short,52.0,0.68,306.96,True,2149.69,12149.69,12149.69,0.0,0.030695999999999998
2025-01-14 12:57:28,DOT/USD,long,46.2,0.7522,271.0,True,2420.69,12420.69,12420.69,0.0,0.0271
2025-01-15 12:57:28,DOT/USD,short,50.8,0.7278,255.03,True,2675.72,12675.72,12675.72,0.0,0.025503
2025-01-16 12:57:28,DOT/USD,long,46.8,0.6864,-175.41,False,2500.31,12500.31,12675.72,-0.013838267175355709,-0.017541
2025-01-17 12:57:28,DOT/USD,long,43.0,0.6807,383.46,True,2883.78,12883.78,12883.78,0.0,0.038346
2025-01-18 12:57:28,DOT/USD,long,56.4,0.8289,321.64,True,3205.42,13205.42,13205.42,0.0,0.032164
2025-01-19 12:57:28,DOT/USD,short,43.7,0.7597,196.51,True,3401.94,13401.94,13401.94,0.0,0.019651
2025-01-20 12:57:28,DOT/USD,short,49.0,0.7524,301.92,True,3703.86,13703.86,13703.86,0.0,0.030192
2025-01-21 12:57:28,DOT/USD,short,67.9,0.9281,404.33,True,4108.19,14108.189999999999,14108.189999999999,0.0,0.040433
2025-01-22 12:57:28,DOT/USD,long,62.9,0.8496,220.11,True,4328.3,14328.3,14328.3,0.0,0.022011000000000003
2025-01-23 12:57:28,DOT/USD,long,53.9,0.7996,294.41,True,4622.71,14622.71,14622.71,0.0,0.029441000000000002
2025-01-24 12:57:28,DOT/USD,short,66.5,0.9486,316.88,True,4939.59,14939.59,14939.59,0.0,0.031688
2025-01-25 12:57:28,DOT/USD,long,52.3,0.9477,366.25,True,5305.84,15305.84,15305.84,0.0,0.036625
2025-01-26 12:57:28,DOT/USD,short,60.4,0.7931,215.46,True,5521.31,15521.310000000001,15521.310000000001,0.0,0.021546
2025-01-27 12:57:28,DOT/USD,long,44.5,0.7077,228.71,True,5750.02,15750.02,15750.02,0.0,0.022871000000000002
2025-01-28 12:57:28,DOT/USD,short,67.6,0.9281,214.03,True,5964.04,15964.04,15964.04,0.0,0.021403
2025-01-29 12:57:28,DOT/USD,long,51.4,0.8774,230.79,True,6194.84,16194.84,16194.84,0.0,0.023079
2025-01-30 12:57:28,DOT/USD,short,51.5,0.7911,300.44,True,6495.27,16495.27,16495.27,0.0,0.030044
